Region,Country Code,Year,Population
WORLD,900,1950,2536274.721
WORLD,900,1951,2583816.786
WORLD,900,1952,2630584.384
WORLD,900,1953,2677230.358
WORLD,900,1954,2724302.468
WORLD,900,1955,2772242.535
WORLD,900,1956,2821383.444
WORLD,900,1957,2871952.278
WORLD,900,1958,2924081.243
WORLD,900,1959,2977824.686
WORLD,900,1960,3033212.527
WORLD,900,1961,3090305.279
WORLD,900,1962,3149244.245
WORLD,900,1963,3210271.352
WORLD,900,1964,3273670.772
WORLD,900,1965,3339592.688
WORLD,900,1966,3408121.405
WORLD,900,1967,3479053.821
WORLD,900,1968,3551880.7
WORLD,900,1969,3625905.514
WORLD,900,1970,3700577.65
WORLD,900,1971,3775790.9
WORLD,900,1972,3851545.181
WORLD,900,1973,3927538.695
WORLD,900,1974,4003448.151
WORLD,900,1975,4079087.198
WORLD,900,1976,4154287.594
WORLD,900,1977,4229201.257
WORLD,900,1978,4304377.112
WORLD,900,1979,4380585.755
WORLD,900,1980,4458411.534
WORLD,900,1981,4537845.777
WORLD,900,1982,4618776.168
WORLD,900,1983,4701530.843
WORLD,900,1984,4786483.862
WORLD,900,1985,4873781.796
WORLD,900,1986,4963633.228
WORLD,900,1987,5055636.132
WORLD,900,1988,5148556.956
WORLD,900,1989,5240735.117
WORLD,900,1990,5330943.46
WORLD,900,1991,5418758.803
WORLD,900,1992,5504401.149
WORLD,900,1993,5588094.837
WORLD,900,1994,5670319.703
WORLD,900,1995,5751474.416
WORLD,900,1996,5831565.02
WORLD,900,1997,5910566.295
WORLD,900,1998,5988846.103
WORLD,900,1999,6066867.391
WORLD,900,2000,6145006.989
WORLD,900,2001,6223412.158
WORLD,900,2002,6302149.639
WORLD,900,2003,6381408.987
WORLD,900,2004,6461370.865
WORLD,900,2005,6542159.383
WORLD,900,2006,6623847.913
WORLD,900,2007,6706418.593
WORLD,900,2008,6789771.25300001
WORLD,900,2009,6873741.054
WORLD,900,2010,6958169.159
WORLD,900,2011,7043008.586
WORLD,900,2012,7128176.935
WORLD,900,2013,7213426.452
WORLD,900,2014,7298453.033
WORLD,900,2015,7383008.82
